n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,mean_m2,sd_m2,sd_logloger,mean_alpha_max,sd_alpha_max,pool,q,replicate
280,0.9963189761607937,0.08572337920257138,0.0073484977419078475,0.9792370711725551,0,1.46549526736095e-07,0.013430395274612544,0.01909775442459285,58,3619560,1.6024047121749605e-05,1.3384297520661157,0.3296486701455454,0.027804484965818492,1.9770529594456214,0.41991252733425916,sigshuffle,11,1
280,0.9974030162523139,0.07202237965234703,0.005187223170786811,0.9760112647209421,0,4.5733609177478485e-07,0.014245478661202973,0.02023477041137338,97,3619560,2.679883742775365e-05,1.3448642266824087,0.34029240900518265,0.029568040793749122,2.0061272676727633,0.46058842537359335,sigshuffle,11,2
280,0.9953020922509864,0.09681810347661735,0.009373745160808985,0.9827956989247312,0,6.620645127686231e-07,0.01673151188736161,0.023816184231612355,130,3619560,3.591596768668015e-05,1.4159976387249116,0.5320452118036294,0.03445340813881567,1.9124433856075294,0.5131661696032114,maxmatched,11,0
280,0.995499441349755,0.09476741144679378,0.0089808622723259,0.9826676907322068,0,9.119147200697952e-07,0.01690165265430818,0.024053598832241445,97,3619560,2.679883742775365e-05,1.3756198347107438,0.513344920882744,0.034782773990778275,1.9232116479138779,0.5184490571510892,maxmatched,11,1
280,0.995295745795628,0.09688332364821566,0.009386378401124901,0.9818228366615463,0,5.810563599162322e-07,0.016817392477907016,0.02393858213059617,209,3619560,5.7741824973201163e-05,1.3145808736717828,0.48658941545933776,0.03468862497983101,1.9167506905300689,0.515438822716037,maxmatched,11,2
280,0.9962015401160842,0.08707750266482044,0.00758249147034181,0.9864823348694316,0,1.8648842792234888e-06,0.015178850201205544,0.021586566892104638,124,3619560,3.4258307639602604e-05,1.2774725274725274,0.4348702382775771,0.03106497222383917,1.9464033671117416,0.5073391896701813,arithmetic,13,0
280,0.9965403612067235,0.08311021890220749,0.006907308485972846,0.9871991807475679,0,2.487801293860059e-07,0.015101012743925196,0.02146856879205553,102,3619560,2.818022080031827e-05,1.260989010989011,0.4028844046338381,0.03082939053763561,1.9048008523948494,0.5000304150874814,arithmetic,13,1
280,0.9957966774662537,0.09159135956611925,0.008388977147170143,0.9856886840757808,0,1.464041563759011e-06,0.014603562679669608,0.020776866917924554,205,3619560,5.6636718275149466e-05,1.2912087912087913,0.43170871984475967,0.029952943656232026,1.9503655113704934,0.5089071231262172,arithmetic,13,2
280,0.9916689962589275,0.12881227371183013,0.016592601858811444,0.9603430619559652,0,3.084721882373742e-06,0.014388970736194101,0.0205567713649173,1671,3619560,0.00046165832311109635,4.482628909551987,1.295378063322239,0.03100391420737451,3.578806801717416,0.699763780506418,loose,13,0
280,0.9910390179381782,0.1335726952791294,0.017841664924131154,0.9594982078853047,0,3.328774489386177e-08,0.014268352498174104,0.020397408261838564,1658,3619560,0.00045806672634242834,4.56821639898563,1.3507886442239843,0.030538520437774334,3.6005985951405504,0.7049492839457572,loose,13,1
280,0.9905547480074426,0.13711780044878247,0.01880129119991213,0.9597030209933436,0,5.564877092467668e-08,0.013370827667442447,0.019123691063396297,2981,3619560,0.0008235807667230272,4.604691462383769,1.3181492298151938,0.028649938786338872,3.655078078698385,0.6586431750387443,loose,13,2
280,0.9971394913856485,0.07558329656193978,0.005712834719170137,0.9838453661034307,0,5.276642300877654e-08,0.015081462783963424,0.021427892647867895,41,3619560,1.1327343655029894e-05,1.3036348267117497,0.42093374236426573,0.030914211007027986,2.023665180157398,0.5397385479627946,m2matched,13,0
280,0.9964721599258434,0.08392398043899443,0.007043234492724722,0.9845110087045571,0,7.147464642365264e-07,0.01508812911357095,0.021451720710338018,75,3619560,2.0720750588469316e-05,1.2976331360946747,0.5132640700478115,0.031147333482628523,1.9592803359526845,0.5367901285159905,m2matched,13,1
280,0.9965460740907368,0.08304168961636055,0.006895922214339963,0.9885816692268306,0,2.948301316862967e-06,0.015112136180583541,0.021484259420249563,96,3619560,2.6522560753240724e-05,1.342603550295858,0.429521813742673,0.03100098965111018,2.053381262098036,0.546063944996479,m2matched,13,2
280,0.9965256650342694,0.08328624693193266,0.006936598928006862,0.9852022529441884,0,9.485040664003463e-08,0.015098618409504976,0.021465481408177004,68,3619560,1.8786813866878848e-05,1.1639053254437868,0.44138414027368394,0.030966823341217697,1.8523024409663902,0.5052122360490581,marginal,13,0
280,0.9965690508152764,0.08276549375880633,0.00685012695713901,0.9864823348694316,0,7.76927186363352e-07,0.015530668760543055,0.022078759727513945,73,3619560,2.0168197239443468e-05,1.2251479289940828,0.4346238146017541,0.031938204371730276,1.865179409807333,0.5329332576813509,marginal,13,1
280,0.9964741688401995,0.08390012416101501,0.007039230834233735,0.9855606758832566,0,2.547386817042252e-06,0.015137468791368161,0.021521826574867033,51,3619560,1.4090110400159135e-05,1.1715553677092139,0.41717145144598494,0.030959413206450823,1.8800374507776516,0.5162926348228982,marginal,13,2
280,0.9972840692727893,0.07365110436854373,0.005424485174706122,0.984715821812596,0,4.525052048620637e-07,0.012387888961142563,0.01759828449049415,34,3619560,9.393406933439424e-06,1.2836432797971258,0.2712963692807874,0.025370478588298395,2.03258000473959,0.4353132724968663,sigshuffle,13,0
280,0.9976445901989393,0.0685949826648479,0.004705271646790785,0.9818484383000512,0,1.580067889861425e-07,0.012413308834808191,0.01762802348562242,31,3619560,8.564576909900651e-06,1.2869399830938293,0.2762324189912923,0.025367061676880173,2.004844994928328,0.44207658968327745,sigshuffle,13,1
280,0.9973302816605133,0.07302266280382427,0.00533230928296102,0.9834613415258576,0,7.745173309370301e-07,0.012096781872198412,0.017183940324777606,23,3619560,6.354363513797257e-06,1.300718512256974,0.27814676410258743,0.02481997085083862,2.0424853653864687,0.43185100488925793,sigshuffle,13,2
280,0.9953224223821145,0.0966088790091232,0.009333275503399404,0.9861495135688684,0,1.8727168127341542e-06,0.014841751029182613,0.021125804964202046,74,3619560,2.0444473913956394e-05,1.2789940828402366,0.4640402020922785,0.030525206940336502,1.9246115736886078,0.5097855229749575,maxmatched,13,0
280,0.9959145258964404,0.09030092529131803,0.008154257108468198,0.9877880184331798,0,1.3391694049236236e-06,0.01461628994349397,0.02079251361761715,116,3619560,3.204809424349921e-05,1.2849957734573119,0.4222832500874845,0.029935351186313422,1.9454128310470538,0.5065350017582986,maxmatched,13,1
280,0.9955683130762554,0.0940411292919188,0.008843733998499389,0.9847414234511008,0,4.80379355405347e-07,0.01533852278221463,0.021827519362950396,117,3619560,3.2324370918012136e-05,1.2967455621301778,0.5041319042438793,0.03135622155663152,1.9137156769770407,0.5234081045952995,maxmatched,13,2
280,0.9966247669701477,0.082091862335428,0.006739073861698864,0.991321044546851,0,1.209944241464811e-06,0.011008244808311909,0.015648701824013154,34,3619560,9.393406933439424e-06,1.0794117647058823,0.3155568483926059,0.022390004225118932,1.879651094031581,0.4320412756503089,arithmetic,17,0
280,0.9968567221765944,0.07922547223801382,0.006276675451336299,0.9895033282130057,0,4.5353200306408326e-08,0.011849465277528564,0.016840614043757054,68,3619560,1.8786813866878848e-05,1.0823529411764705,0.3325183644239658,0.024071713322499272,1.908235649839434,0.4705866877975757,arithmetic,17,1
280,0.9959497084853273,0.08991205796772496,0.008084178167991535,0.9886072708653354,0,1.7370933449445403e-06,0.010768898201747498,0.015318836278893699,79,3619560,2.1825857286521013e-05,1.1025210084033614,0.34682169855247375,0.02187639886372975,1.8961088685876173,0.42300215404762603,arithmetic,17,2
280,0.9887806781694016,0.1493745978366402,0.02231277047885799,0.9593701996927804,0,4.391400902914455e-07,0.009842009070883683,0.014101837361257419,2714,3619560,0.0007498148946280764,4.884379634206624,1.208903642403975,0.020877655127735116,3.603386429111233,0.5458563764155085,loose,17,0
280,0.9903570609163257,0.1385384130599788,0.019192891893177303,0.9642089093701997,0,5.086128196385431e-08,0.010015578857016746,0.014327689600600726,2052,3619560,0.0005669197361005205,4.960133465150766,1.1206368028339875,0.02114197132774463,3.6848091032305725,0.566869946826118,loose,17,1
