q,signature,orbits,orbits_deg5,orbits_deg6
13,18 17 16 15 15 14 14 13 13 12 11 7 4,3,0,3
13,18 17 16 15 15 15 12 12 12 11 10 9 7,3,3,0
13,18 17 16 15 15 15 14 11 11 10 10 9 8,10,0,10
13,18 17 16 16 14 14 14 13 12 11 11 7 6,4,0,4
13,18 17 16 16 14 14 14 14 13 11 10 8 4,5,0,5
13,18 17 16 16 15 14 13 12 11 11 9 9 8,27,0,27
13,18 17 16 16 15 14 14 12 11 11 10 10 5,9,0,9
13,18 17 16 16 15 14 14 14 13 12 9 8 3,2,2,0
13,18 17 16 16 15 15 14 12 12 10 9 8 7,2,0,2
13,18 17 16 16 15 15 14 14 13 12 8 6 5,3,0,3
13,18 17 16 16 16 13 13 13 12 11 10 8 6,1,1,0
13,18 17 16 16 16 15 12 12 11 11 10 9 6,4,0,4
13,18 17 16 16 16 15 14 11 11 10 9 8 8,2,2,0
13,18 17 16 16 16 15 14 13 13 10 10 7 4,1,0,1
13,18 17 16 16 16 16 13 11 10 10 9 9 8,6,0,6
13,18 17 16 16 16 16 15 14 10 9 9 7 6,2,0,2
13,18 17 16 16 16 16 15 15 10 10 8 8 4,1,0,1
13,18 17 17 15 14 13 12 11 11 11 11 10 9,16,0,16
13,18 17 17 15 14 14 13 13 12 10 9 9 8,15,0,15
13,18 17 17 15 15 13 13 12 12 11 10 8 8,7,0,7
13,18 17 17 15 15 14 12 12 11 11 10 10 7,13,0,13
13,18 17 17 15 15 15 15 12 12 10 10 8 5,5,0,5
13,18 17 17 16 14 13 12 12 12 11 11 9 7,11,0,11
13,18 17 17 16 15 14 12 12 12 12 10 7 7,4,0,4
13,18 17 17 16 15 14 13 12 12 10 10 9 6,20,0,20
13,18 17 17 16 15 14 14 14 12 10 8 8 6,2,0,2
13,18 17 17 16 15 14 14 14 12 12 9 7 4,1,0,1
13,18 17 17 16 16 15 12 11 10 10 10 10 7,4,0,4
13,18 17 17 16 16 15 13 12 12 11 8 7 7,4,0,4
13,18 17 17 16 16 16 13 12 11 11 10 8 4,2,0,2
13,18 17 17 17 16 14 13 13 12 10 10 8 4,6,0,6
13,18 17 17 17 17 14 12 11 11 10 10 9 6,6,0,6
13,18 18 14 14 14 14 13 13 12 12 9 9 9,11,0,11
13,18 18 15 14 14 13 13 13 13 12 12 7 7,5,0,5
13,18 18 15 15 14 14 13 13 12 12 9 9 7,5,5,0
13,18 18 16 14 14 13 13 13 13 12 11 10 4,3,0,3
13,18 18 16 15 14 13 12 12 12 12 11 10 6,18,0,18
13,18 18 16 15 14 14 13 12 11 11 11 9 7,9,0,9
13,18 18 16 15 15 14 13 12 10 10 10 10 8,18,0,18
13,18 18 16 15 15 14 13 13 12 12 8 8 7,7,0,7
13,18 18 16 15 15 14 14 12 12 11 10 7 7,4,0,4
13,18 18 16 15 15 14 14 13 11 10 10 9 6,9,0,9
13,18 18 16 16 13 12 12 11 11 11 11 10 10,13,0,13
13,18 18 16 16 14 13 13 12 12 10 10 9 8,12,0,12
13,18 18 16 16 14 14 13 13 12 11 9 9 6,5,0,5
13,18 18 16 16 15 13 13 12 12 11 11 8 6,4,0,4
13,18 18 16 16 15 14 14 12 11 11 10 10 4,3,0,3
13,18 18 16 16 15 14 14 12 12 11 11 6 6,3,3,0
13,18 18 16 16 15 15 14 14 13 12 8 6 4,1,0,1
13,18 18 16 16 16 14 14 13 11 10 9 8 6,2,2,0
13,18 18 16 16 16 15 14 14 12 10 9 8 3,3,0,3
13,18 18 16 16 16 16 13 13 11 11 9 6 6,1,0,1
13,18 18 16 16 16 16 14 13 12 11 8 7 4,4,0,4
13,18 18 16 16 16 16 14 14 12 10 9 8 2,1,0,1
13,18 18 16 16 16 16 15 13 12 10 7 6 6,2,0,2
13,18 18 17 15 14 13 13 13 12 12 10 8 6,4,0,4
13,18 18 17 15 14 14 14 13 11 10 10 8 7,4,4,0
13,18 18 17 15 15 13 12 12 11 10 10 9 9,13,0,13
13,18 18 17 15 15 14 14 12 11 10 9 8 8,4,0,4
13,18 18 17 15 15 14 14 13 13 10 8 7 7,4,0,4
13,18 18 17 16 14 14 13 13 10 10 10 9 7,2,0,2
13,18 18 17 16 14 14 14 12 12 11 10 8 5,4,0,4
13,18 18 17 16 15 14 13 12 11 11 11 8 5,3,3,0
13,18 18 17 16 15 14 13 13 11 11 10 7 6,7,0,7
13,18 18 17 16 15 14 14 14 12 10 9 7 5,1,1,0
13,18 18 17 16 15 15 12 11 10 10 10 9 8,2,2,0
13,18 18 17 16 16 12 12 12 12 10 10 8 8,9,0,9
13,18 18 17 16 16 14 12 12 12 11 9 8 6,4,0,4
13,18 18 17 16 16 14 14 12 11 11 10 10 2,2,0,2
13,18 18 17 16 16 14 14 13 13 8 8 7 7,1,1,0
13,18 18 17 16 16 15 14 14 13 10 9 5 4,1,0,1
13,18 18 17 16 16 16 14 13 12 11 8 7 3,1,0,1
13,18 18 17 17 16 16 13 11 10 10 8 8 7,3,0,3
13,18 18 18 14 14 14 13 12 12 12 8 8 8,2,2,0
13,18 18 18 15 15 13 13 12 12 12 9 9 5,2,0,2
13,18 18 18 15 15 15 11 11 11 10 9 9 9,1,1,0
13,18 18 18 16 14 13 12 12 11 11 10 9 7,3,3,0
13,18 18 18 16 14 14 14 12 12 11 10 8 4,2,0,2
13,18 18 18 16 15 14 13 12 10 10 10 9 6,1,1,0
