q,signature,pencils,distinct_isogeny_multisets
13,18 18 17 15 14 14 14 13 11 10 10 8 7,4,4
13,18 18 17 15 15 13 12 12 11 10 10 9 9,13,13
13,18 18 17 15 15 14 14 12 11 10 9 8 8,4,4
13,18 18 17 15 15 14 14 13 13 10 8 7 7,4,4
13,18 18 17 16 14 14 13 13 10 10 10 9 7,2,2
13,18 18 17 16 14 14 14 12 12 11 10 8 5,4,4
13,18 18 17 16 15 14 13 12 11 11 11 8 5,3,3
13,18 18 17 16 15 14 13 13 11 11 10 7 6,7,7
13,18 18 17 16 15 15 12 11 10 10 10 9 8,2,2
13,18 18 17 16 16 12 12 12 12 10 10 8 8,9,9
13,18 18 17 16 16 14 12 12 12 11 9 8 6,4,4
13,18 18 17 16 16 14 14 12 11 11 10 10 2,2,2
13,18 18 17 17 16 16 13 11 10 10 8 8 7,3,3
13,18 18 18 14 14 14 13 12 12 12 8 8 8,2,2
13,18 18 18 15 15 13 13 12 12 12 9 9 5,2,2
13,18 18 18 16 14 13 12 12 11 11 10 9 7,3,3
13,18 18 18 16 14 14 14 12 12 11 10 8 4,2,2
13,18 18 18 17 15 13 13 12 11 9 9 8 8,4,4
13,18 18 18 18 15 13 12 12 11 11 10 7 6,2,2
13,19 15 15 15 13 13 13 12 12 12 10 10 10,8,8
13,19 15 15 15 14 14 13 13 12 11 11 10 7,18,18
13,19 15 15 15 15 14 14 13 13 10 10 10 6,11,11
13,19 16 15 14 14 14 13 12 12 12 11 10 7,14,14
13,19 16 15 15 14 14 12 12 12 12 11 9 8,32,32
13,19 16 15 15 14 14 14 14 13 13 8 8 6,2,2
13,19 16 15 15 15 14 14 14 11 10 9 9 8,8,8
13,19 16 15 15 15 15 14 12 11 11 10 8 8,5,5
13,19 16 16 14 14 14 14 13 12 12 10 8 7,18,18
13,19 16 16 15 14 14 13 13 12 12 11 10 4,9,9
13,19 16 16 15 14 14 14 14 12 11 10 9 5,4,4
13,19 16 16 15 15 13 13 13 13 10 10 8 8,5,5
13,19 16 16 16 15 14 12 12 12 10 10 9 8,15,15
13,19 16 16 16 15 14 13 12 11 10 9 9 9,5,5
13,19 16 16 16 16 15 13 12 11 10 9 8 8,3,3
13,19 17 15 14 14 14 13 12 11 11 11 9 9,16,16
13,19 17 15 14 14 14 13 13 13 12 10 8 7,5,5
13,19 17 15 15 14 14 13 13 12 12 9 8 8,11,11
13,19 17 15 15 14 14 14 12 12 11 10 9 7,7,7
13,19 17 16 15 14 13 13 13 13 12 11 7 6,6,6
13,19 17 16 15 14 14 13 13 12 12 11 10 3,5,5
13,19 17 16 15 14 14 14 11 11 11 10 9 8,3,3
13,19 17 16 15 15 14 13 12 12 12 10 8 6,7,7
13,19 17 16 15 15 14 14 13 12 10 8 8 8,3,3
