family,genus,q,m,mu,mu_abs,rate,scaled_deviation,deficit,moment2,moment4,n_over_weil
H3b,3,101,18,1.7910669423779806,2.78610413258797,0.9656834613069408,1.5916486674823827,4.208933057622019,1.0495049504950495,2.9996729111201486,0
H3b,3,211,41,2.8225564023682086,2.8225564023682086,0.9678862046650689,2.49653383055488,3.1774435976317914,1.061611374407583,3.5593159030016297,0
H3b,3,401,59,2.9463193996896417,3.3458203352407794,0.9776121364278384,2.687192519461049,3.0536806003103583,1.2219451371571073,4.49131929164905,0
H3b,3,1009,111,3.4944384526141006,3.4944384526141006,0.9851349243982302,3.26597298328024,2.5055615473858994,1.0445986124876114,3.763168078682912,0
H3b,3,2003,161,3.5973724254584525,3.5973724254584525,0.9899329183450006,3.425270375414563,2.4026275745415475,1.000499251123315,3.361251195331218,0
H3b,3,4001,251,3.9681624741994357,4.094637772181888,0.9927176449359126,3.820637593152765,2.0318375258005643,1.042239440139965,3.3783282271840327,0
H3b,3,8009,316,3.531001774253165,3.531001774253165,0.9957131884332938,3.4482768281684546,2.468998225746835,0.9991259832688226,2.9738706012395655,0
H3b,3,16001,472,3.7313710354757306,3.7313710354757306,0.9970058682032126,3.66638502610127,2.2686289645242694,0.9853134179113805,2.92079331777074,0
H3b,3,32003,704,3.935295177761414,3.935295177761414,0.9979068058712641,3.884487430423723,2.064704822238586,1.0062806611880135,3.030968665049931,0
H3b,3,64007,976,3.8577677794984226,3.8577677794984226,0.9986344155039404,3.8234227843276156,2.1422322205015774,0.9931413751620917,2.9635909402408913,0
H3b,3,128021,1487,4.1559504493492465,4.1559504493492465,0.9990189572818219,4.1279457999293765,1.8440495506507535,0.9919778786292874,2.9696135627257765,0
H3b,3,256019,2377,4.69778442027848,4.69778442027848,0.9992584298584312,4.672642595992879,1.30221557972152,0.9993164569817083,3.02440576216213,0
