A_inf,a,b,block,chi,hi,known_spread,lambda_c,"lc_[-14,14]","lc_[-20,6]","lc_[-24,24]","lc_[-6,20]","lc_[-8,8]",lo,max_interior,max_spread,median_spread,min_interior,n_all_interior,n_cycles,n_same_bucket,n_sig,osc,prior,s_max,s_min,same_bucket,spread,triple,width
0.005389322035239508,"(6, 3, 3)","(7, 2, 1)",census,nan,,,,,,,,,,True,,,False,,,,,0.17584210366171693,,-0.5171235991601634,7.734700000000004,,,,
0.002125139351692673,"(7, 2, 1)","(6, 5, 1)",census,nan,,,,,,,,,,False,,,True,,,,,0.16081318088785257,,7.734700000000004,-0.20112454585622713,,,,
0.00829953217151344,"(6, 5, 1)","(6, 3, 3)",census,-0.2894276371469628,,,,,,,,,,True,,,True,,,,,0.06614031291937678,,1.0825302505381633,-1.0538600617567102,,,,
,,,known_support,,8,,230.40816046040067,,,,,,-8,,,,,,,,,,,,,,,,16
,,,known_support,,12,,286.70847617264997,,,,,,-12,,,,,,,,,,,,,,,,24
,,,known_support,,16,,323.07065961213203,,,,,,-16,,,,,,,,,,,,,,,,32
,,,known_support,,24,,371.18555448217694,,,,,,-24,,,,,,,,,,,,,,,,48
,,,known_support,,32,,403.7905109649024,,,,,,-32,,,,,,,,,,,,,,,,64
,,,known_support,,20,,349.9181628643148,,,,,,-6,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.49442846031195,,,,,,-20,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.4944310847797,,,,,,-6,,,,,,,,,,,,,,,,12
,,,known_support,,4,,100.2973956329158,,,,,,-4,,,,,,,,,,,,,,,,8
,,,known_support,,6,,184.4944284603153,,,,,,-40,,,,,,,,,,,,,,,,46
,,,known_support,,6,,184.49442881542743,,,,,,-8,,,,,,,,,,,,,,,,14
,,,known_support,,12,,286.70847617264957,,,,,,-40,,,,,,,,,,,,,,,,52
,,,known_support,,12,,286.70847617269425,,,,,,-8,,,,,,,,,,,,,,,,20
,,,known_support,,20,,349.9181628643142,,,,,,-40,,,,,,,,,,,,,,,,60
,,,known_support,,20,,349.918162864314,,,,,,-8,,,,,,,,,,,,,,,,28
,,,known_support,,,,85.79786540601465,,,,,,,,,,,,,,,,gaussian sd=2,,,,,,
,,,known_support,,,,155.11012921595756,,,,,,,,,,,,,,,,gaussian sd=4,,,,,,
,,,known_support,,,,263.1690955249817,,,,,,,,,,,,,,,,gaussian sd=8,,,,,,
,,,known_support,,,,110.53799020660993,,,,,,,,,,,,,,,,logistic sc=2,,,,,,
,,,known_support,,,,231.5968644792936,,,,,,,,,,,,,,,,logistic sc=4,,,,,,
,,,f11_census,,,,,,,,,,,,,,,73,132,73,296,,,,,,,,
,,,f11_lambda_c,,,,,1357.1534522178624,1357.1568474307455,1357.157953880337,1346.666120268471,1355.7420257096662,,,,,,,,,,,,,,True,1.007790968714483,"(181, 183, 191)",
,,,f11_lambda_c,,,,,1885.7548174700335,1885.756482081124,1885.7568511296558,1880.669519375039,1885.0694545360373,,,,,,,,,,,,,,True,1.0027050641817747,"(181, 184, 191)",
,,,f11_lambda_c,,,,,2627.883449999464,2627.88410334693,2627.884248917937,2625.892927955623,2627.614530813915,,,,,,,,,,,,,,True,1.0007583405024303,"(181, 190, 191)",
,,,f11_lambda_c,,,,,2440.2562789253557,2440.260386254147,2440.272177088532,2424.7413205186303,2438.160039094096,,,,,,,,,,,,,,True,1.006405160186976,"(183, 191, 188)",
,,,f11_lambda_c,,,,,20930.425890550046,20930.426140987576,20930.426338943835,20929.625342382424,20930.3175587994,,,,,,,,,,,,,,True,1.0000382709460063,"(196, 202, 197)",
,,,f11_lambda_c,,,,,2615.4952063082915,2615.4952218928674,2615.49522344325,2615.4483020761663,2615.488865218317,,,,,,,,,,,,,,True,1.000017940085853,"(196, 207, 197)",
,,,f11_lambda_c,,,,,2615.4952063082915,2615.4952218928674,2615.49522344325,2615.4483020761663,2615.488865218317,,,,,,,,,,,,,,True,1.000017940085853,"(196, 207, 213)",
,,,f11_lambda_c,,,,,837.5048254730538,837.5053813589891,837.5054510748597,835.8240524275752,837.2779954894121,,,,,,,,,,,,,,True,1.0020116657834877,"(196, 210, 197)",
,,,f11_lambda_c,,,,,855.5306366593344,855.5311485133313,855.531219586273,853.981511208742,855.3215244995223,,,,,,,,,,,,,,True,1.0018146860993953,"(196, 211, 197)",
,,,f11_lambda_c,,,,,863.779221709174,863.7794325729418,863.7794497225728,863.1450204908688,863.6935414813544,,,,,,,,,,,,,,True,1.000735020438794,"(196, 218, 197)",
,,,f11_lambda_c,,,,,1007.552267776274,1007.5529974737557,1007.5530759405589,1005.3472343112463,1007.2549618992992,,,,,,,,,,,,,,True,1.002194109213245,"(198, 207, 213)",
,,,f11_lambda_c,,,,,1550.710227739293,1550.7104249354466,1550.710446127878,1550.1161214373462,1550.6299185919745,,,,,,,,,,,,,,True,1.000383406560523,"(198, 215, 203)",
,,,f11_lambda_c,,,,,1550.710227739293,1550.7104249354466,1550.710446127878,1550.1161214373462,1550.6299185919745,,,,,,,,,,,,,,True,1.000383406560523,"(198, 215, 213)",
,,,f11_lambda_c,,,,,8133.74493283795,8133.744932840773,8133.744932838823,8133.744932838701,8133.744932837094,,,,,,,,,,,,,,True,1.0000000000004523,"(199, 226, 206)",
