q,implementer,implemented,rate,contact_beta,closed_form
11,A,A,1.000000000000000,0,
11,A,X,0.816189304108436,inf,0.816189304108436
11,X,S,0.900305666517212,3.8550,
11,X,L,0.997844241013610,0.4370,
11,X,A,0.998307556276405,1.4887,
11,X,X,1.000000000000000,0,
13,S,S,1.000000000000000,0,
13,S,L,0.758654412959299,0,0.758654412959299
13,S,A,0.758654412959299,0,0.758654412959299
13,S,X,0.758654412959299,0,0.758654412959299
13,L,S,0.787253946446637,inf,0.787253946446637
13,L,L,1.000000000000000,0,
13,L,A,0.971918771402921,inf,0.971918771402921
13,L,X,0.796846320583541,inf,0.796846320583541
13,A,S,0.809999734144728,inf,0.809999734144728
13,A,L,0.993755298146326,0.3249,
13,A,A,1.000000000000000,0,
13,A,X,0.819869256597780,inf,0.819869256597780
13,X,S,0.901163769941373,3.9707,
13,X,L,0.998289394859110,0.4379,
13,X,A,0.998571250413655,1.4883,
13,X,X,1.000000000000000,0,
16,S,S,1.000000000000000,0,
16,S,L,0.750000000000000,0,0.750000000000000
16,S,A,0.750000000000000,0,0.750000000000000
16,S,X,0.750000000000000,0,0.750000000000000
16,L,S,0.800000000000000,inf,0.800000000000000
16,L,L,1.000000000000000,0,
16,L,A,0.978602168472904,inf,0.978602168472904
16,L,X,0.807396346328399,inf,0.807396346328399
16,A,S,0.817492568250068,inf,0.817492568250068
16,A,L,0.994926090970237,0.3180,
16,A,A,1.000000000000000,0,
16,A,X,0.825050640944656,inf,0.825050640944656
16,X,S,0.899215578493670,4.0770,
16,X,L,0.998710242263906,0.4388,
16,X,A,0.998851825636772,1.4878,
16,X,X,1.000000000000000,0,
25,S,S,1.000000000000000,0,
25,S,L,0.796846320583541,0,0.796846320583541
25,S,A,0.796846320583541,0,0.796846320583541
25,S,X,0.796846320583541,0,0.796846320583541
25,L,S,0.822816179864442,inf,0.822816179864442
25,L,L,1.000000000000000,0,
25,L,A,0.987962077643931,inf,0.987962077643931
25,L,X,0.827087475346916,inf,0.827087475346916
25,A,S,0.832841865577144,inf,0.832841865577144
25,A,L,0.996773679456307,0.3043,
25,A,A,1.000000000000000,0,
25,A,X,0.837165205084932,inf,0.837165205084932
25,X,S,0.905280720251496,4.4856,
25,X,L,0.999285722767504,0.4402,
25,X,A,0.999297231292485,1.4863,
25,X,X,1.000000000000000,0,
27,S,S,1.000000000000000,0,
27,S,L,0.800724500910960,0,0.800724500910960
27,S,A,0.800724500910960,0,0.800724500910960
27,S,X,0.800724500910960,0,0.800724500910960
27,L,S,0.826234657128560,inf,0.826234657128560
