curve_id,e_numerator,e_denominator,d_numerator,d_denominator,formula,point_count,n_values,in_minimum_cover
e_p53_84__d_p1_14,53,84,1,14,c_n = 53/84 - (1/14)/n,1,54,False
e_p53_84__d_p1_12,53,84,1,12,c_n = 53/84 - (1/12)/n,1,35,False
e_p53_84__d_p2_21,53,84,2,21,c_n = 53/84 - (2/21)/n,2,16 100,False
e_p53_84__d_p3_28,53,84,3,28,c_n = 53/84 - (3/28)/n,1,81,False
e_p53_84__d_p5_42,53,84,5,42,c_n = 53/84 - (5/42)/n,1,62,False
e_p53_84__d_p11_84,53,84,11,84,c_n = 53/84 - (11/84)/n,1,43,False
e_p53_84__d_p1_7,53,84,1,7,c_n = 53/84 - (1/7)/n,1,24,False
e_p53_84__d_p13_84,53,84,13,84,c_n = 53/84 - (13/84)/n,2,5 89,False
e_p53_84__d_p1_6,53,84,1,6,c_n = 53/84 - (1/6)/n,1,70,False
e_p53_84__d_p5_28,53,84,5,28,c_n = 53/84 - (5/28)/n,1,51,False
e_p53_84__d_p4_21,53,84,4,21,c_n = 53/84 - (4/21)/n,1,32,False
e_p53_84__d_p17_84,53,84,17,84,c_n = 53/84 - (17/84)/n,2,13 97,False
e_p53_84__d_p3_14,53,84,3,14,c_n = 53/84 - (3/14)/n,1,78,False
e_p53_84__d_p19_84,53,84,19,84,c_n = 53/84 - (19/84)/n,1,59,False
e_p53_84__d_p5_21,53,84,5,21,c_n = 53/84 - (5/21)/n,1,40,False
e_p53_84__d_p1_4,53,84,1,4,c_n = 53/84 - (1/4)/n,1,21,False
e_p53_84__d_p11_42,53,84,11,42,c_n = 53/84 - (11/42)/n,2,2 86,False
e_p53_84__d_p23_84,53,84,23,84,c_n = 53/84 - (23/84)/n,1,67,False
e_p53_84__d_p2_7,53,84,2,7,c_n = 53/84 - (2/7)/n,1,48,False
e_p53_84__d_p25_84,53,84,25,84,c_n = 53/84 - (25/84)/n,1,29,False
e_p53_84__d_p13_42,53,84,13,42,c_n = 53/84 - (13/42)/n,2,10 94,False
e_p53_84__d_p9_28,53,84,9,28,c_n = 53/84 - (9/28)/n,1,75,False
e_p53_84__d_p1_3,53,84,1,3,c_n = 53/84 - (1/3)/n,1,56,False
