genus,partitions,pairs,dominance_comparable,incomparable,crossing_pairs,cycles,closest_approach
1,1,0,0,0,0,0,inf
2,2,1,1,0,0,0,inf
12,621111,5331,2.0,0.0,0.7205881360,0
12,621111,5322,2.0,2.0,0.6012504958,1
12,621111,53211,1.0,4.0,0.1980674677,1
12,621111,52221,1.0,6.0,0.0080001812,1
12,621111,444,3.0,-4.0,1.2066400529,0
12,621111,4431,2.0,2.0,0.7110082185,1
12,621111,4422,2.0,4.0,0.5548796153,1
12,621111,44211,1.0,6.0,0.1163654324,1
12,621111,4332,2.0,6.0,0.4619444293,1
12,621111,43311,1.0,8.0,0.0021925552,1
12,621111,43221,1.0,10.0,-0.1930277062,1
12,621111,42222,1.0,12.0,-0.3747323694,1
12,621111,3333,2.0,8.0,0.3575390324,1
12,621111,33321,1.0,12.0,-0.3080608680,1
12,621111,33222,1.0,14.0,-0.4901502102,1
12,6111111,552,4.0,-12.0,1.6131311269,0
12,6111111,5511,3.0,-10.0,1.3049629611,0
12,6111111,543,4.0,-8.0,1.5360283798,0
12,6111111,5421,3.0,-4.0,1.0794648888,0
12,6111111,54111,2.0,-2.0,0.7612470390,0
12,6111111,5331,3.0,-2.0,1.0401408664,0
12,6111111,5322,3.0,0.0,0.9258078639,0
12,6111111,53211,2.0,2.0,0.6012504958,1
12,6111111,531111,1.0,4.0,0.1980674677,1
12,6111111,52221,2.0,4.0,0.4514831339,1
12,6111111,522111,1.0,6.0,0.0080001812,1
12,6111111,444,4.0,-6.0,1.5240453470,0
12,6111111,4431,3.0,0.0,1.0344991151,0
12,6111111,4422,3.0,2.0,0.9206568909,1
12,6111111,44211,2.0,4.0,0.5548796153,1
12,6111111,441111,1.0,6.0,0.1163654324,1
12,6111111,4332,3.0,4.0,0.8709026474,1
12,6111111,43311,2.0,6.0,0.4619444293,1
12,6111111,43221,2.0,8.0,0.2732397878,1
12,6111111,432111,1.0,10.0,-0.1930277062,1
12,6111111,42222,2.0,10.0,0.0870140733,1
12,6111111,422211,1.0,12.0,-0.3747323694,1
12,6111111,3333,3.0,6.0,0.7937643619,1
12,6111111,33321,2.0,10.0,0.1635122152,1
12,6111111,333111,1.0,12.0,-0.3080608680,1
12,6111111,33222,2.0,12.0,-0.0256216991,1
12,6111111,332211,1.0,14.0,-0.4901502102,1
12,6111111,322221,1.0,16.0,-0.6656561133,1
12,6111111,222222,1.0,18.0,-0.8379664014,1
12,5511,543,1.0,2.0,0.2618541066,1
12,5511,444,1.0,4.0,0.1858552883,1
